date,open,high,low,close,volume,barCount,wap
2025-04-01 09:30:00-04:00,11.59,11.76,11.55,11.61,1481192,2988,11.64
2025-04-01 09:35:00-04:00,11.61,11.62,11.48,11.56,449090,976,11.532
2025-04-01 09:40:00-04:00,11.56,11.74,11.55,11.71,523087,1183,11.664
2025-04-01 09:45:00-04:00,11.71,11.85,11.69,11.82,572002,1322,11.776
2025-04-01 09:50:00-04:00,11.81,11.83,11.72,11.73,364621,828,11.772
2025-04-01 09:55:00-04:00,11.73,11.74,11.63,11.64,424983,903,11.676
2025-04-01 10:00:00-04:00,11.63,11.68,11.56,11.59,634789,1588,11.622
2025-04-01 10:05:00-04:00,11.6,11.64,11.54,11.6,353187,980,11.592
2025-04-01 10:10:00-04:00,11.6,11.63,11.53,11.54,350920,907,11.578
2025-04-01 10:15:00-04:00,11.55,11.59,11.54,11.55,313164,957,11.565
2025-04-01 10:20:00-04:00,11.56,11.6,11.52,11.6,429365,902,11.568
2025-04-01 10:25:00-04:00,11.6,11.63,11.56,11.59,281597,549,11.598
2025-04-01 10:30:00-04:00,11.58,11.66,11.58,11.65,392326,809,11.619
2025-04-01 10:35:00-04:00,11.65,11.75,11.63,11.71,635547,892,11.679
2025-04-01 10:40:00-04:00,11.71,11.77,11.69,11.74,596178,828,11.73
2025-04-01 10:45:00-04:00,11.73,11.76,11.71,11.74,577293,577,11.743
2025-04-01 10:50:00-04:00,11.75,11.8,11.73,11.8,850387,759,11.767
2025-04-01 10:55:00-04:00,11.8,11.81,11.75,11.81,583054,819,11.781
2025-04-01 11:00:00-04:00,11.81,11.85,11.79,11.83,458220,716,11.819
2025-04-01 11:05:00-04:00,11.83,11.9,11.81,11.89,767589,855,11.86
2025-04-01 11:10:00-04:00,11.89,11.94,11.86,11.93,829735,931,11.896
2025-04-01 11:15:00-04:00,11.93,11.99,11.91,11.95,810645,908,11.957
2025-04-01 11:20:00-04:00,11.95,12.0,11.91,11.99,902700,985,11.947
2025-04-01 11:25:00-04:00,12.0,12.0,11.91,11.92,934400,1247,11.955
2025-04-01 11:30:00-04:00,11.91,11.96,11.91,11.95,1140718,1405,11.938
2025-04-01 11:35:00-04:00,11.96,11.97,11.93,11.95,598973,727,11.95
2025-04-01 11:40:00-04:00,11.96,11.97,11.91,11.96,473498,549,11.937
2025-04-01 11:45:00-04:00,11.96,11.99,11.95,11.97,754351,742,11.966
2025-04-01 11:50:00-04:00,11.98,12.02,11.97,12.0,679422,752,11.993
2025-04-01 11:55:00-04:00,12.0,12.06,11.98,12.05,882817,828,12.026
2025-04-01 12:00:00-04:00,12.05,12.1,12.03,12.07,921972,998,12.064
2025-04-01 12:05:00-04:00,12.06,12.08,12.03,12.08,867890,1038,12.054
2025-04-01 12:10:00-04:00,12.08,12.11,12.06,12.08,509796,626,12.081
2025-04-01 12:15:00-04:00,12.08,12.16,12.07,12.12,502027,886,12.128
2025-04-01 12:20:00-04:00,12.13,12.15,12.07,12.07,536854,754,12.11
2025-04-01 12:25:00-04:00,12.07,12.08,11.92,11.95,1165186,1101,11.983
2025-04-01 12:30:00-04:00,11.96,11.98,11.91,11.94,749715,712,11.947
2025-04-01 12:35:00-04:00,11.94,11.96,11.89,11.9,889743,894,11.917
2025-04-01 12:40:00-04:00,11.9,11.94,11.85,11.88,585799,701,11.904
2025-04-01 12:45:00-04:00,11.88,11.93,11.87,11.93,346104,547,11.905
2025-04-01 12:50:00-04:00,11.93,11.99,11.92,11.96,554212,870,11.959
2025-04-01 12:55:00-04:00,11.97,11.97,11.93,11.93,432377,589,11.959
2025-04-01 13:00:00-04:00,11.93,11.97,11.92,11.96,261054,393,11.952
2025-04-01 13:05:00-04:00,11.96,11.97,11.92,11.93,370288,483,11.939
2025-04-01 13:10:00-04:00,11.93,11.94,11.9,11.92,249536,339,11.922
2025-04-01 13:15:00-04:00,11.92,11.95,11.89,11.9,592282,559,11.922
2025-04-01 13:20:00-04:00,11.9,11.92,11.89,11.9,453502,496,11.901
2025-04-01 13:25:00-04:00,11.9,11.91,11.86,11.87,473654,456,11.889
2025-04-01 13:30:00-04:00,11.88,11.92,11.87,11.89,568212,723,11.901
2025-04-01 13:35:00-04:00,11.9,11.92,11.89,11.9,478598,481,11.905
2025-04-01 13:40:00-04:00,11.9,11.94,11.89,11.91,512980,611,11.919
2025-04-01 13:45:00-04:00,11.91,11.95,11.9,11.94,587795,508,11.932
2025-04-01 13:50:00-04:00,11.94,11.97,11.93,11.95,292552,349,11.956
2025-04-01 13:55:00-04:00,11.95,11.95,11.91,11.92,184356,297,11.937
2025-04-01 14:00:00-04:00,11.92,11.93,11.84,11.86,494182,519,11.873
2025-04-01 14:05:00-04:00,11.86,11.87,11.8,11.81,358366,430,11.834
2025-04-01 14:10:00-04:00,11.81,11.82,11.77,11.82,382546,507,11.799
2025-04-01 14:15:00-04:00,11.82,11.82,11.76,11.78,538308,624,11.793
2025-04-01 14:20:00-04:00,11.78,11.79,11.72,11.74,441706,716,11.76
2025-04-01 14:25:00-04:00,11.74,11.79,11.72,11.77,486436,703,11.756
2025-04-01 14:30:00-04:00,11.77,11.81,11.76,11.77,334735,514,11.789
2025-04-01 14:35:00-04:00,11.78,11.8,11.74,11.75,288778,440,11.773
2025-04-01 14:40:00-04:00,11.75,11.77,11.74,11.76,338920,520,11.755
2025-04-01 14:45:00-04:00,11.76,11.76,11.71,11.71,254190,446,11.732
2025-04-01 14:50:00-04:00,11.71,11.74,11.7,11.74,497947,484,11.718
2025-04-01 14:55:00-04:00,11.74,11.8,11.73,11.78,925837,729,11.774
2025-04-01 15:00:00-04:00,11.77,11.82,11.76,11.82,347943,516,11.796
2025-04-01 15:05:00-04:00,11.82,11.86,11.81,11.82,451236,603,11.842
2025-04-01 15:10:00-04:00,11.82,11.85,11.81,11.85,392621,545,11.829
2025-04-01 15:15:00-04:00,11.85,11.88,11.84,11.86,341012,485,11.861
2025-04-01 15:20:00-04:00,11.87,11.9,11.86,11.9,481951,497,11.879
2025-04-01 15:25:00-04:00,11.9,11.93,11.89,11.9,584981,701,11.911
2025-04-01 15:30:00-04:00,11.9,11.95,11.86,11.91,716557,874,11.911
