date,open,high,low,close,volume,barCount,wap,ema_20,rsi,percent_below_ema,action,strategy_returns
2025-04-01 09:30:00-04:00,11.59,11.76,11.55,11.61,1481192,2988,11.64,11.61,,0.0,hold,0.0
2025-04-01 09:35:00-04:00,11.61,11.62,11.48,11.56,449090,976,11.532,11.605238095238095,,-0.38980755816338186,hold,0.0
2025-04-01 09:40:00-04:00,11.56,11.74,11.55,11.71,523087,1183,11.664,11.615215419501133,,0.8160380765709324,hold,0.0
2025-04-01 09:45:00-04:00,11.71,11.85,11.69,11.82,572002,1322,11.776,11.634718712881979,,1.592486175990468,hold,0.0
2025-04-01 09:50:00-04:00,11.81,11.83,11.72,11.73,364621,828,11.772,11.643793121178934,,0.7403676613273418,hold,0.0
2025-04-01 09:55:00-04:00,11.73,11.74,11.63,11.64,424983,903,11.676,11.643431871542845,,-0.02947474233290059,hold,0.0
2025-04-01 10:00:00-04:00,11.63,11.68,11.56,11.59,634789,1588,11.622,11.638343121872097,,-0.41537804278381724,hold,0.0
2025-04-01 10:05:00-04:00,11.6,11.64,11.54,11.6,353187,980,11.592,11.634691395979516,,-0.29817203395273784,hold,0.0
2025-04-01 10:10:00-04:00,11.6,11.63,11.53,11.54,350920,907,11.578,11.62567316779099,,-0.7369308129902514,hold,0.0
2025-04-01 10:15:00-04:00,11.55,11.59,11.54,11.55,313164,957,11.565,11.618466199429944,,-0.5892877618674215,hold,0.0
2025-04-01 10:20:00-04:00,11.56,11.6,11.52,11.6,429365,902,11.568,11.61670751376995,,-0.14382314222980244,hold,0.0
2025-04-01 10:25:00-04:00,11.6,11.63,11.56,11.59,281597,549,11.598,11.614163941029954,,-0.20805579422371437,hold,0.0
2025-04-01 10:30:00-04:00,11.58,11.66,11.58,11.65,392326,809,11.619,11.617576899027101,,0.2790866051905734,hold,0.0
2025-04-01 10:35:00-04:00,11.65,11.75,11.63,11.71,635547,892,11.679,11.626379099119758,56.250000000000085,0.7192342531353901,hold,0.0
2025-04-01 10:40:00-04:00,11.71,11.77,11.69,11.74,596178,828,11.73,11.637200137298828,57.83132530120486,0.8833728172439366,hold,0.0
2025-04-01 10:45:00-04:00,11.73,11.76,11.71,11.74,577293,577,11.743,11.646990600413226,61.5384615384615,0.798570229664947,hold,0.0
2025-04-01 10:50:00-04:00,11.75,11.8,11.73,11.8,850387,759,11.767,11.661562924183395,56.52173913043476,1.1871228300755419,hold,0.0
2025-04-01 10:55:00-04:00,11.8,11.81,11.75,11.81,583054,819,11.781,11.675699788546881,49.15254237288137,1.1502540651555593,hold,0.0
2025-04-01 11:00:00-04:00,11.81,11.85,11.79,11.83,458220,716,11.819,11.69039504678051,59.615384615384556,1.1941850780991021,hold,0.0
2025-04-01 11:05:00-04:00,11.83,11.9,11.81,11.89,767589,855,11.86,11.709405042325224,75.51020408163255,1.5423068637731057,hold,0.0
2025-04-01 11:10:00-04:00,11.89,11.94,11.86,11.93,829735,931,11.896,11.7304140859133,85.41666666666661,1.701439630561526,hold,0.0
2025-04-01 11:15:00-04:00,11.93,11.99,11.91,11.95,810645,908,11.957,11.751327030112032,85.71428571428567,1.690642847219557,hold,0.0
2025-04-01 11:20:00-04:00,11.95,12.0,11.91,11.99,902700,985,11.947,11.774057789148982,97.87234042553196,1.834050883035683,hold,0.0
2025-04-01 11:25:00-04:00,12.0,12.0,11.91,11.92,934400,1247,11.955,11.78795704732527,84.90566037735846,1.1201512878322835,hold,0.0
2025-04-01 11:30:00-04:00,11.91,11.96,11.91,11.95,1140718,1405,11.938,11.803389709484767,84.31372549019605,1.2421032781576433,hold,0.0
2025-04-01 11:35:00-04:00,11.96,11.97,11.93,11.95,598973,727,11.95,11.817352594295741,85.99999999999994,1.1224798841010066,hold,0.0
2025-04-01 11:40:00-04:00,11.96,11.97,11.91,11.96,473498,549,11.937,11.830938061505671,84.44444444444441,1.0908850830202412,hold,0.0
2025-04-01 11:45:00-04:00,11.96,11.99,11.95,11.97,754351,742,11.966,11.844182055647988,82.49999999999994,1.0622763459804796,hold,0.0
2025-04-01 11:50:00-04:00,11.98,12.02,11.97,12.0,679422,752,11.993,11.859021859871989,82.49999999999994,1.1887838794280863,hold,0.0
2025-04-01 11:55:00-04:00,12.0,12.06,11.98,12.05,882817,828,12.026,11.877210254169896,84.44444444444441,1.4548007666147142,hold,0.0
2025-04-01 12:00:00-04:00,12.05,12.1,12.03,12.07,921972,998,12.064,11.895571182344192,82.92682926829262,1.466334108568925,hold,0.0
2025-04-01 12:05:00-04:00,12.06,12.08,12.03,12.08,867890,1038,12.054,11.913135831644745,82.92682926829262,1.4006737664487614,hold,0.0
